Title,Artist,Genre,Decade,Duration
Viva La Vida 1,Eminem,Jazz,1980,5.5
Bohemian Rhapsody 2,MAGIC,Country,1980,4.7
Mamma Mia 3,Coldplay,R&B,2000,5.2
Rude 4,The Beatles,Hip-Hop,1970,4.9
Perfect 5,Taylor Swift,Reggae,2010,3.0
Bohemian Rhapsody 6,MAGIC,Pop,2000,3.4
Perfect 7,MAGIC,Jazz,2000,5.1
Blinding Lights 8,Taylor Swift,Indie,1980,4.0
Blinding Lights 9,Eminem,R&B,1980,3.8
Blinding Lights 10,Taylor Swift,Country,2020,3.5
Someone Like You 11,Coldplay,Electronic,2000,2.8
Someone Like You 12,Ed Sheeran,Hip-Hop,1990,3.1
Rude 13,Beyoncé,Jazz,1990,3.6
Halo 14,ABBA,Indie,2010,4.4
Rude 15,Eminem,Reggae,2010,2.9
Perfect 16,Ed Sheeran,Electronic,2020,4.0
Viva La Vida 17,Ed Sheeran,Classical,2000,2.9
Rude 18,The Beatles,Indie,2010,2.9
Viva La Vida 19,Eminem,Country,1980,4.2
Shape of You 20,ABBA,Indie,1980,4.8
Mamma Mia 21,MAGIC,Country,1990,4.5
Someone Like You 22,Adele,Pop,1990,3.8
Hotel California 23,Coldplay,Pop,1980,3.8
Viva La Vida 24,Coldplay,Indie,2020,3.9
Hotel California 25,Taylor Swift,Rock,1970,4.9
Halo 26,Ed Sheeran,R&B,1980,5.0
Someone Like You 27,Coldplay,Pop,2020,5.0
Rude 28,Beyoncé,Classical,1980,4.9
Halo 29,Coldplay,Pop,2020,5.5
Mamma Mia 30,Drake,Reggae,2010,2.6
Viva La Vida 31,Beyoncé,Hip-Hop,1970,2.6
Viva La Vida 32,Beyoncé,Electronic,1970,4.2
Bohemian Rhapsody 33,ABBA,Pop,1970,3.2
Someone Like You 34,ABBA,Pop,1990,5.2
Rude 35,Drake,Indie,1970,2.8
Perfect 36,The Beatles,Hip-Hop,2020,3.0
Someone Like You 37,Coldplay,Jazz,1970,3.1
Bohemian Rhapsody 38,Taylor Swift,Reggae,1970,2.8
Perfect 39,Drake,Rock,2020,3.5
